Indoor_Temp_C,Predicted_PPD,Relative_Energy
23.676,5.0,14.272
23.656,5.0,14.272
23.708,5.0,14.272
23.739,5.0,14.272
23.887,5.506,14.207
23.821,5.506,14.207
24.516,5.637,12.871
24.506,5.637,12.871
24.722,6.336,12.636
24.689,6.336,12.636
24.703,6.336,12.636
25.074,6.348,11.783
25.137,6.348,11.783
25.264,7.651,11.618
25.305,7.651,11.618
25.254,7.651,11.618
25.265,7.651,11.618
25.549,7.656,11.105
25.515,7.656,11.105
25.482,7.656,11.105
25.69,7.854,11.064
25.653,7.854,11.064
25.768,8.785,11.026
25.752,8.785,11.026
25.863,9.593,10.812
25.911,9.593,10.812
25.911,9.593,10.812
25.922,9.593,10.812
26.044,10.318,10.758
26.031,10.318,10.758
26.014,10.318,10.758
26.027,10.318,10.758
26.31,13.705,10.747
26.253,13.705,10.747
26.357,15.376,10.323
26.432,15.376,10.323
26.351,15.376,10.323
26.436,15.376,10.323
26.441,15.376,10.323
26.522,15.465,10.313
26.523,15.465,10.313
26.625,16.209,10.296
26.641,16.209,10.296
26.615,16.209,10.296
26.64,16.209,10.296
26.842,17.541,10.016
26.8,17.541,10.016
26.818,17.541,10.016
26.934,18.392,9.655
26.872,18.392,9.655
26.852,18.392,9.655
26.976,20.83,9.205
26.983,20.83,9.205
27.045,20.83,9.205
27.039,20.83,9.205
27.028,20.83,9.205
26.974,20.83,9.205
27.124,21.145,9.148
27.126,21.145,9.148
27.074,21.145,9.148
27.32,22.372,9.003
27.264,22.372,9.003
27.439,22.513,8.989
27.389,22.513,8.989
27.425,22.513,8.989
27.376,22.513,8.989
27.481,23.234,8.609
27.539,23.234,8.609
27.537,23.234,8.609
27.533,23.234,8.609
27.862,25.883,8.224
27.91,25.883,8.224
27.941,25.883,8.224
28.022,28.195,7.991
27.954,28.195,7.991
28.196,28.272,7.495
28.175,28.272,7.495
28.237,28.272,7.495
28.324,33.679,7.298
28.255,33.679,7.298
28.508,38.443,7.21
28.531,38.443,7.21
28.789,40.323,6.998
28.788,40.323,6.998
28.845,40.323,6.998
28.8,40.323,6.998
29.093,45.87,6.575
29.128,45.87,6.575
29.149,45.87,6.575
29.208,46.364,6.551
29.211,46.364,6.551
29.193,46.364,6.551
29.224,46.364,6.551
29.258,48.31,6.378
29.343,48.31,6.378
29.844,50.16,5.409
29.79,50.16,5.409
29.95,52.954,5.284
29.966,52.954,5.284
29.994,52.954,5.284
